Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,"Big Sandy Creek, Big Thicket National Preserve (TX08.site04)_08",90,-94.71843,30.67105,Bombus impatiens,12,22.666666666666668
Cameron et al. 2011,Hymenoptera,West of Ozark NF (Hwy 16) (AR08.site01)_08,90,-94.43522,36.10147,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,West of Ozark NF (Hwy 16) (AR08.site01)_08,90,-94.43522,36.10147,Bombus impatiens,4,7.555555555555555
Cameron et al. 2011,Hymenoptera,"off 99W, ~2mi NE of North Star (MN09.site01)_09",90,-94.03598,44.30375,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"off 99W, ~2mi NE of North Star (MN09.site01)_09",90,-94.03598,44.30375,Bombus impatiens,1,1.8888888888888888
Cameron et al. 2011,Hymenoptera,Jcn Hwy4 @ Davis Loop (LA09.site02)_09,90,-93.02177,32.26892,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Jcn Hwy4 @ Davis Loop (LA09.site02)_09,90,-93.02177,32.26892,Bombus impatiens,5,9.444444444444445
Cameron et al. 2011,Hymenoptera,orchard on SW corner of Adams Ave + Hwy 102 (IA09.site02)_09,90,-92.87099,41.4071,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,orchard on SW corner of Adams Ave + Hwy 102 (IA09.site02)_09,90,-92.87099,41.4071,Bombus impatiens,11,20.77777777777778
Cameron et al. 2011,Hymenoptera,Hwy53 just S of Kirksville (MO09.site05)_09,90,-92.57161,40.16584,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy53 just S of Kirksville (MO09.site05)_09,90,-92.57161,40.16584,Bombus impatiens,27,51
Cameron et al. 2011,Hymenoptera,Hwy40 bet. Rocheport & Prathersville (MO09.site04)_09,90,-92.51566,38.98974,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy40 bet. Rocheport & Prathersville (MO09.site04)_09,90,-92.51566,38.98974,Bombus impatiens,20,37.77777777777778
Cameron et al. 2011,Hymenoptera,Red Wing (MN08.site01)_08,90,-92.488344,44.557736,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Red Wing (MN08.site01)_08,90,-92.488344,44.557736,Bombus impatiens,5,9.444444444444445
